"Site","Date....as.Date.character....format.....Y..m..d..","Time....character..","Name....character..","File_Start_Time....character..","File_End_Time....character..","bioacoustic....double..","amplitude....double..","temporal_entropy....double..","spectral_entropy....double..","acoustic_entropy....double..","acoustic_diversity....double..","acoustic_evenness....double..","acoustic_complexity....double..","nrows....integer..","ndsi....double..","cluster..nine..clusters","cluster..fifteen..clusters"
"Nirav_NA","2018-07-29","15:45:0","Nirav_S4A07275_20180729_150000.wav",45,50,81.196199797757,0.244167216205597,0.976524755997272,0.621927172354983,0.607327280232023,1.314334,0.695047,155.661154804748,0,0.979638784601605,5,8
"Nirav_NA","2018-07-29","15:50:0","Nirav_S4A07275_20180729_150000.wav",50,55,81.9831928389465,0.6064839048528,0.986759374775832,0.406378713518916,0.400998005274133,1.06044,0.771517,172.961272433222,0,0.931187239198951,2,3
"Nirav_NA","2018-07-29","16:0:0","Nirav_S4A07275_20180729_160000.wav",0,5,78.1032070953928,0.424092636696408,0.983227840453671,0.585255439640841,0.575439442031828,1.306063,0.696908,164.72033971818,0,0.984530994620332,2,3
"Nirav_NA","2018-07-29","16:5:0","Nirav_S4A07275_20180729_160000.wav",5,10,87.6005680044857,0.548970202026611,0.985003678469825,0.444217133249541,0.437555510290118,0.989394,0.791168,177.166211331224,0,0.941810716416181,2,3
"Nirav_NA","2018-07-29","16:10:0","Nirav_S4A07275_20180729_160000.wav",10,15,84.9993529974207,0.316423584999277,0.979656926275374,0.661024690096742,0.647577416092306,1.239654,0.728115,161.815552632474,0,0.991047501290337,5,8
"Nirav_NA","2018-07-29","16:15:0","Nirav_S4A07275_20180729_160000.wav",15,20,94.5195826398879,0.313446041480125,0.981563373706492,0.731454615147446,0.717969059757311,1.340559,0.693571,158.347960264825,0,0.995867207327013,9,8
"Nirav_NA","2018-07-29","16:20:0","Nirav_S4A07275_20180729_160000.wav",20,25,79.6889551309776,0.52818024854034,0.985732684123336,0.62681863114419,0.617875611736278,1.348876,0.688374,170.090883223225,0,0.989509599141338,2,3
"Nirav_NA","2018-07-29","16:25:0","Nirav_S4A07275_20180729_160000.wav",25,30,82.2817896832936,0.44335546484485,0.981096143792989,0.532388490151936,0.522324294687836,1.415636,0.657347,168.788124656628,0,0.98498680333446,2,3
"Nirav_NA","2018-07-29","16:30:0","Nirav_S4A07275_20180729_160000.wav",30,35,134.534966262506,0.402110747037791,0.980428766812587,0.307750923734127,0.301727858642085,0.054819,0.896934,182.831399427147,0,0.0269892009797781,2,3
"Nirav_NA","2018-07-29","16:35:0","Nirav_S4A07275_20180729_160000.wav",35,40,78.5250857564073,0.250502096562125,0.974190224955437,0.500249984339104,0.487338644777265,1.201242,0.741683,163.504550569869,0,0.963784154376412,5,7
"Nirav_NA","2018-07-29","16:40:0","Nirav_S4A07275_20180729_160000.wav",40,45,89.9994850936902,0.339264029534199,0.980992693744194,0.711894487537248,0.698363290990808,1.369563,0.685133,162.082520356734,0,0.994888314211608,7,8
"Nirav_NA","2018-07-29","16:45:0","Nirav_S4A07275_20180729_160000.wav",45,50,132.727711132015,0.369085192400286,0.980825772261601,0.328859147353102,0.322553527167898,0.101226,0.895766,176.941904097031,0,0.806227981800794,2,3
"Nirav_NA","2018-07-29","16:50:0","Nirav_S4A07275_20180729_160000.wav",50,55,119.710249292007,0.463868426366394,0.981045112731361,0.293358251130905,0.287797678551393,0.003317,0.899925,188.673465772537,0,-0.295011083272576,2,3
"Nirav_NA","2018-07-29","17:0:0","Nirav_S4A07275_20180729_170000.wav",0,5,140.329403187597,0.267003013242661,0.976332332068661,0.334251312043806,0.326340362984739,0.017166,0.899272,175.927449184477,0,0.46416728993251,6,3
"Nirav_NA","2018-07-29","17:5:0","Nirav_S4A07275_20180729_170000.wav",5,10,125.055719836249,0.14122331292339,0.969768638615824,0.459828882728639,0.445927629599988,0.14172,0.890221,160.521915758269,0,0.691773439206286,5,7
"Nirav_NA","2018-07-29","17:10:0","Nirav_S4A07275_20180729_170000.wav",10,15,101.20701843843,0.184182591061536,0.973201553588032,0.436122645708819,0.424435236358745,0.678412,0.835747,158.054860664974,0,0.746038673799775,5,7
"Nirav_NA","2018-07-29","17:15:0","Nirav_S4A07275_20180729_170000.wav",15,20,105.593891018133,0.184497469202397,0.975528714284611,0.733411333854414,0.715463815556758,1.464286,0.646313,153.338805154222,0,0.996901229395717,9,8
"Nirav_NA","2018-07-29","17:20:0","Nirav_S4A07275_20180729_170000.wav",20,25,90.8371727311842,0.222053176157136,0.977228458866651,0.781586957032806,0.763789017491445,1.431771,0.663516,155.382372424938,0,0.992987312424014,9,8
"Nirav_NA","2018-07-29","17:25:0","Nirav_S4A07275_20180729_170000.wav",25,30,109.095991725234,0.166976980577076,0.975392328636523,0.660815073159095,0.644553953006764,1.13717,0.753982,158.511874196192,0,0.965457548090542,5,7
"Nirav_NA","2018-07-29","17:30:0","Nirav_S4A07275_20180729_170000.wav",30,35,117.122593556105,0.413617655703318,0.982193660740826,0.335472803260421,0.32949926071334,0.407546,0.869043,181.103785389333,0,0.77603886111883,2,3
"Nirav_NA","2018-07-29","17:35:0","Nirav_S4A07275_20180729_170000.wav",35,40,107.717913443672,0.469533639689748,0.984805700407761,0.326524575156105,0.321563262936954,0.333829,0.877475,173.152378600712,0,0.735839876404706,2,3
"Nirav_NA","2018-07-29","17:40:0","Nirav_S4A07275_20180729_170000.wav",40,45,110.664836944843,0.262528958056631,0.977425057811832,0.376083944856868,0.367593871543827,0.26042,0.885321,164.87812028069,0,0.793539513682103,5,3
"Nirav_NA","2018-07-29","17:45:0","Nirav_S4A07275_20180729_170000.wav",45,50,80.9509015202941,0.32918685890032,0.979602972092465,0.590366518068448,0.578324795723731,1.389334,0.665821,161.898666582894,0,0.981330958068049,5,8
"Nirav_NA","2018-07-29","17:50:0","Nirav_S4A07275_20180729_170000.wav",50,55,95.142367310843,0.314966142960838,0.979923794585253,0.712972635437252,0.69865885035312,1.390574,0.674957,160.135818374662,0,0.995130700562333,9,8
"Nirav_NA","2018-07-29","18:0:0","Nirav_S4A07275_20180729_180000.wav",0,5,96.2865951705631,0.19646977559091,0.978262572169163,0.781876300648574,0.764880320990584,1.4586,0.64805,151.792262280223,0,0.995836029989422,9,8
"Nirav_NA","2018-07-29","18:5:0","Nirav_S4A07275_20180729_180000.wav",5,10,125.545357014329,0.172691992166004,0.974935157552369,0.477528030534337,0.465558865684666,0.372543,0.876193,155.617979944873,0,0.885929913460218,5,7
"Nirav_NA","2018-07-29","18:10:0","Nirav_S4A07275_20180729_180000.wav",10,15,134.760990012861,0.241511069884353,0.976274472642081,0.340557243076631,0.332477342889079,0.264557,0.885083,167.739431442208,0,0.668552461793933,6,3
